"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"236";"Thailand";"Singapore";"Singapore";"Vietnam";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"237";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"238";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"239";"Argentina";"Chile";"Argentina";"Argentina";"Argentina";"Argentina";"Chile";"Argentina";"Argentina";"Chile"
"240";"Canada";"Canada";"Canada";"Morocco";"Lebanon";"Cuba";"Canada";"Mongolia";"Canada";"Philippines"
"241";"Argentina";"Chile";"Argentina";"Argentina";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile"
"242";"United States";"Canada";"Mexico";"United States";"United States";"United States";"United States";"United States";"United States";"United States"
"243";"Hong Kong";"China";"China";"Macao";"China";"China";"China";"China";"China";"China"
"244";"Indonesia";"Singapore";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"245";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"246";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"247";"Australia";"United Kingdom";"Australia";"Australia";"Australia";"New Zealand";"New Zealand";"Australia";"Australia";"Australia"
"248";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"249";"South Korea";"China";"China";"Thailand";"China";"China";"China";"China";"China";"China"
"250";"Iran, Islamic Republic of";"New Zealand";"Australia";"New Zealand";"New Zealand";"Australia";"Australia";"Australia";"Australia";"Australia"
"251";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"China"
"252";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"253";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"254";"Hong Kong";"Taiwan";"China";"Hong Kong";"Hong Kong";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"China"
"255";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"256";"China";"China";"China";"China";"Taiwan";"China";"China";"China";"China";"China"
"257";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"258";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"259";"Argentina";"Argentina";"Argentina";"Chile";"Chile";"Argentina";"Argentina";"Chile";"Argentina";"Argentina"
"260";"United States";"Russia";"United States";"Canada";"United States";"Canada";"United States";"United States";"United States";"United States"
"261";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"262";"United States";"United States";"United States";"United States";"Canada";"United States";"United States";"Canada";"United States";"United States"
"263";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"264";"China";"China";"China";"China";"China";"China";"Hong Kong";"China";"China";"China"
"265";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"266";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Singapore";"Indonesia"
"267";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia";"Iran, Islamic Republic of";"Australia";"Australia";"Australia"
"268";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"269";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"270";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"271";"China";"China";"Hong Kong";"China";"Macao";"China";"China";"China";"China";"China"
"272";"New Zealand";"New Zealand";"Australia";"Australia";"Australia";"New Zealand";"New Zealand";"Iran, Islamic Republic of";"New Zealand";"Australia"
"273";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"274";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"China";"Malaysia";"Hong Kong";"Hong Kong";"Hong Kong"
"275";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"276";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore";"Thailand";"Singapore";"Singapore";"Singapore";"Vietnam"
"277";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"278";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"279";"South Korea";"China";"China";"China";"Thailand";"China";"China";"China";"China";"China"
"280";"Czech Republic";"United Kingdom";"Israel";"Poland";"Germany";"Macedonia";"Slovenia";"Slovenia";"Slovenia";"Serbia"
"281";"France";"France";"France";"France";"France";"Czech Republic";"France";"France";"France";"Czech Republic"
"282";"Hungary";"Hungary";"Hungary";"Hungary";"Hungary";"Czech Republic";"Czech Republic";"England";"Czech Republic";"Czech Republic"
"283";"Canada";"United States";"Canada";"United States";"United States";"United States";"United States";"United States";"United States";"United States"
"284";"Colombia";"Colombia";"Costa Rica";"Colombia";"Colombia";"Colombia";"Mexico";"Mexico";"Colombia";"Mexico"
"285";"Canada";"United States";"United States";"United States";"United States";"United States";"United States";"United States";"United States";"Canada"
"286";"Australia";"New Zealand";"Australia";"Australia";"Australia";"New Zealand";"New Zealand";"Australia";"Iran, Islamic Republic of";"New Zealand"
"287";"Singapore";"Singapore";"Singapore";"Singapore";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"288";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"289";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"290";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"291";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"292";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"293";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"294";"Hong Kong";"China";"Hong Kong";"Malaysia";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong"
"295";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"296";"United Kingdom";"United Kingdom";"United Kingdom";"Norway";"United Kingdom";"Denmark";"Russia";"Denmark";"United Kingdom";"Wales"
"297";"Hungary";"Hungary";"Hungary";"Hungary";"Hungary";"Estonia";"Poland";"Poland";"Czech Republic";"Serbia"
"298";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Poland";"Netherlands";"Portugal";"Portugal";"Portugal"
"299";"Germany";"Poland";"Israel";"Czech Republic";"United Kingdom";"England";"Czech Republic";"Czech Republic";"Czech Republic";"Czech Republic"
"300";"Serbia";"Poland";"Germany";"Germany";"Germany";"Germany";"United Kingdom";"Germany";"Germany";"Austria"
"301";"Sweden";"Sweden";"Sweden";"Sweden";"United Kingdom";"United Kingdom";"Czech Republic";"United Kingdom";"France";"Sweden"
"302";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"303";"Spain";"Finland";"Spain";"Poland";"Spain";"Lithuania";"Ukraine";"Spain";"Spain";"Lithuania"
"304";"Saudi Arabia";"Lebanon";"Saudi Arabia";"Jordan";"Saudi Arabia";"Saudi Arabia";"United Arab Emirates";"Qatar";"Jordan";"Qatar"
"305";"Dominican Republic";"United States";"Venezuela";"Dominican Republic";"Dominican Republic";"Canada";"Chile";"Mexico";"Argentina";"Colombia"
"306";"Colombia";"Dominican Republic";"Colombia";"Colombia";"Guatemala";"Mexico";"Colombia";"Mexico";"Mexico";"Colombia"
"307";"Thailand";"Singapore";"Singapore";"Singapore";"Vietnam";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"308";"Australia";"Australia";"Australia";"Australia";"Iran, Islamic Republic of";"Australia";"Australia";"New Zealand";"Australia";"Australia"
"309";"China";"China";"China";"China";"China";"South Korea";"China";"China";"Thailand";"China"
"310";"Singapore";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"311";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"312";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"313";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Hong Kong";"Hong Kong";"Hong Kong";"Malaysia";"China"
"314";"China";"China";"China";"China";"China";"China";"China";"Macao";"China";"Hong Kong"
"315";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"316";"Sweden";"United Kingdom";"Sweden";"Sweden";"Sweden";"Denmark";"Denmark";"United Kingdom";"Russia";"Wales"
"317";"Czech Republic";"England";"Czech Republic";"Czech Republic";"Czech Republic";"Poland";"Poland";"Poland";"Poland";"Poland"
"318";"Germany";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"319";"Germany";"Czech Republic";"United Kingdom";"Germany";"Germany";"Serbia";"Poland";"Germany";"Germany";"Germany"
"320";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"321";"Italy";"Estonia";"Italy";"Italy";"Lithuania";"Italy";"Portugal";"Italy";"Italy";"Czech Republic"
"322";"Egypt";"Belarus";"Finland";"Algeria";"Egypt";"Russia";"Egypt";"Egypt";"International";"Egypt"
"323";"Colombia";"Colombia";"Costa Rica";"Colombia";"Colombia";"Mexico";"Canada";"Colombia";"Argentina";"Chile"
"324";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia"
"325";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"326";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Cambodia";"Cambodia";"Cambodia";"Cambodia";"Cambodia"
"327";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia"
"328";"Argentina";"Argentina";"Argentina";"Chile";"Argentina";"Argentina";"Chile";"Argentina";"Argentina";"Chile"
"329";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"330";"Argentina";"Chile";"Chile";"Argentina";"Argentina";"Argentina";"Chile";"Argentina";"Argentina";"International"
"331";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"332";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Cambodia";"Cambodia";"Cambodia";"Cambodia";"Cambodia"
"333";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"334";"India";"India";"India";"India";"India";"Philippines";"Indonesia";"Philippines";"Philippines";"Singapore"
"335";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Thailand";"Thailand";"Indonesia";"Thailand";"Thailand"
"336";"Philippines";"Philippines";"Singapore";"India";"Philippines";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"337";"Indonesia";"Philippines";"Indonesia";"Malaysia";"Philippines";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"338";"United States";"United States";"Canada";"United States";"Mexico";"Canada";"Canada";"United States";"Mongolia";"Philippines"
"339";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"340";"Argentina";"Argentina";"Argentina";"Chile";"Chile";"Argentina";"Argentina";"Chile";"Argentina";"Chile"
"341";"Canada";"United States";"United States";"United States";"United States";"Morocco";"Canada";"Lebanon";"Canada";"Canada"
"342";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"343";"China";"China";"Taiwan";"China";"China";"China";"China";"China";"China";"China"
"344";"China";"China";"Iran, Islamic Republic of";"China";"New Zealand";"China";"China";"China";"China";"China"
"345";"India";"India";"India";"India";"India";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"346";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"347";"China";"China";"China";"China";"China";"Australia";"Australia";"China";"China";"China"
"348";"Philippines";"Philippines";"Singapore";"Philippines";"Indonesia";"Indonesia";"Thailand";"Thailand";"Thailand";"Thailand"
"349";"India";"Philippines";"Singapore";"Philippines";"Philippines";"Philippines";"Malaysia";"Philippines";"Indonesia";"Indonesia"
"350";"United States";"United States";"United States";"United States";"United States";"United States";"United States";"Canada";"United States";"United States"
"351";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"Argentina";"Argentina";"Argentina";"Argentina"
"352";"United States";"Canada";"United States";"United States";"United States";"United States";"United States";"United States";"United States";"United States"
"353";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"354";"China";"Taiwan";"Taiwan";"Taiwan";"China";"China";"China";"China";"China";"China"
"355";"New Zealand";"China";"China";"China";"Iran, Islamic Republic of";"China";"China";"China";"China";"China"
"356";"China";"China";"Hong Kong";"China";"China";"China";"China";"China";"China";"Taiwan"
"357";"Singapore";"Philippines";"Philippines";"Philippines";"India";"India";"India";"India";"India";"India"
"358";"Thailand";"Thailand";"Thailand";"Thailand";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"359";"China";"China";"China";"China";"China";"China";"China";"Australia";"China";"Australia"
"360";"United States";"United States";"Canada";"United States";"United States";"United States";"United States";"United States";"United States";"Canada"
"361";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"362";"Dominican Republic";"Colombia";"Colombia";"Colombia";"Guatemala";"Mexico";"Chile";"Canada";"Argentina";"Colombia"
"363";"Russia";"United States";"United States";"Canada";"United States";"Canada";"United States";"United States";"United States";"Canada"
"364";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"365";"United States";"Venezuela";"Dominican Republic";"Dominican Republic";"Dominican Republic";"Colombia";"Costa Rica";"Colombia";"Colombia";"Colombia"
"366";"Philippines";"Russia";"Russia";"Japan";"Japan";"South Korea";"Japan";"Japan";"Japan";"Japan"
"367";"Philippines";"Philippines";"Singapore";"Indonesia";"Philippines";"Malaysia";"Philippines";"Indonesia";"Indonesia";"Philippines"
"368";"Philippines";"India";"Philippines";"Philippines";"Singapore";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"369";"Taiwan";"China";"China";"Taiwan";"Taiwan";"China";"China";"China";"China";"China"
"370";"China";"China";"China";"China";"Taiwan";"Australia";"Australia";"China";"China";"China"
"371";"Philippines";"Philippines";"India";"India";"India";"India";"India";"India";"India";"India"
"372";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"373";"Dominican Republic";"Colombia";"Colombia";"Colombia";"Guatemala";"Dominican Republic";"United States";"Dominican Republic";"Dominican Republic";"Venezuela"
"374";"Japan";"South Korea";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"South Korea";"Japan"
"375";"Singapore";"Philippines";"Philippines";"Indonesia";"Philippines";"Philippines";"India";"Philippines";"Singapore";"Philippines"
"376";"China";"Taiwan";"Taiwan";"China";"Taiwan";"Australia";"Australia";"China";"China";"China"
"377";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"378";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"379";"China";"China";"China";"China";"China";"China";"Taiwan";"China";"China";"China"
"380";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"381";"Australia";"India";"Australia";"India";"India";"United Kingdom";"Croatia";"India";"India";"India"
"382";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"383";"Mexico";"Chile";"Colombia";"Argentina";"Canada";"Mexico";"Colombia";"Colombia";"Mexico";"Mexico"
"384";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"385";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"386";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"387";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"388";"Chile";"Argentina";"Argentina";"Argentina";"Chile";"Chile";"Argentina";"Argentina";"Chile";"Brazil"
"389";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"390";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"391";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"392";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"393";"Mexico";"Venezuela";"Mexico";"Costa Rica";"Mexico";"Costa Rica";"Ecuador";"International";"Guatemala";"Mexico"
"394";"China";"China";"Taiwan";"China";"China";"Taiwan";"China";"China";"Taiwan";"China"
"395";"China";"China";"China";"China";"China";"China";"China";"China";"China";"Taiwan"
"396";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"397";"China";"China";"China";"China";"China";"Australia";"China";"Australia";"China";"China"
"398";"India";"Vietnam";"India";"India";"Singapore";"India";"India";"India";"India";"India"
"399";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"400";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"International";"Brazil";"Chile";"Chile"
"401";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"402";"Mexico";"Colombia";"Colombia";"Dominican Republic";"Peru";"Mexico";"Guatemala";"Colombia";"Colombia";"Costa Rica"
"403";"Taiwan";"China";"Taiwan";"China";"Taiwan";"China";"China";"China";"China";"China"
"404";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"405";"China";"China";"China";"China";"China";"China";"South Korea";"Thailand";"China";"China"
"406";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"407";"China";"China";"China";"China";"China";"China";"Hong Kong";"China";"Hong Kong";"China"
"408";"India";"India";"India";"India";"India";"Sri Lanka";"India";"India";"India";"India"
"409";"United States";"United States";"United States";"United States";"Canada";"United States";"United States";"Canada";"United States";"United States"
"410";"Chile";"Chile";"Argentina";"Argentina";"Argentina";"Argentina";"Chile";"Argentina";"Argentina";"Chile"
"411";"United States";"Russia";"Canada";"United States";"United States";"United States";"United States";"United States";"United States";"Canada"
"412";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile"
"413";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"414";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"415";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"416";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"417";"Australia";"Australia";"China";"China";"China";"China";"Taiwan";"China";"China";"Taiwan"
"418";"India";"India";"India";"India";"India";"Russia";"India";"Russia";"India";"India"
"419";"Chile";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"420";"Lebanon";"Canada";"Canada";"Morocco";"Canada";"United States";"United States";"United States";"United States";"United States"
"421";"Canada";"United States";"United States";"United States";"United States";"United States";"Canada";"United States";"United States";"United States"
"422";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"423";"China";"China";"China";"China";"China";"Hong Kong";"China";"Hong Kong";"China";"China"
"424";"Japan";"Japan";"Japan";"Japan";"Japan";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"425";"China";"China";"China";"China";"Taiwan";"China";"China";"China";"Thailand";"South Korea"
"426";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"Canada";"South Korea";"Australia";"Indonesia"
"427";"Taiwan";"China";"Taiwan";"Taiwan";"China";"China";"Taiwan";"China";"China";"China"
"428";"Australia";"India";"Australia";"India";"India";"Philippines";"Philippines";"India";"Sri Lanka";"India"
"429";"Dominican Republic";"Colombia";"Colombia";"Colombia";"Guatemala";"Colombia";"Colombia";"Colombia";"Colombia";"Costa Rica"
"430";"Dominican Republic";"Dominican Republic";"United States";"Venezuela";"Dominican Republic";"Dominican Republic";"Brazil";"Colombia";"United States";"Mexico"
"431";"Australia";"China";"China";"Australia";"China";"China";"China";"China";"China";"China"
"432";"Singapore";"Singapore";"Indonesia";"Malaysia";"Indonesia";"South Korea";"Japan";"Japan";"Japan";"Japan"
"433";"China";"Taiwan";"China";"Taiwan";"Taiwan";"China";"China";"China";"China";"China"
"434";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"435";"China";"China";"China";"China";"Taiwan";"China";"China";"China";"China";"China"
"436";"Lithuania";"Spain";"Ukraine";"Lithuania";"Spain";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"437";"Philippines";"India";"India";"Philippines";"India";"Vietnam";"Singapore";"India";"India";"India"
"438";"Costa Rica";"Colombia";"Colombia";"Colombia";"Colombia";"Dominican Republic";"Brazil";"United States";"Colombia";"Mexico"
"439";"Indonesia";"Philippines";"Indonesia";"Philippines";"Indonesia";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"440";"United Kingdom";"Russia";"Sweden";"Poland";"Finland";"Russia";"Lithuania";"Finland";"Spain";"Norway"
"441";"Russia";"Russia";"Poland";"Spain";"Bulgaria";"Turkey";"Ukraine";"International";"Sweden";"International"
"442";"Argentina";"Brazil";"Chile";"Uruguay";"Chile";"Chile";"Argentina";"Argentina";"Brazil";"Chile"
"443";"Japan";"Japan";"South Korea";"Japan";"South Korea";"South Korea";"Japan";"Japan";"Japan";"Japan"
"444";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"445";"Indonesia";"Indonesia";"Indonesia";"Singapore";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"446";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan"
"447";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"448";"Denmark";"Lithuania";"Spain";"France";"Poland";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"449";"Sweden";"Finland";"Russia";"United Kingdom";"Russia";"Finland";"Lithuania";"Poland";"Czech Republic";"Lithuania"
"450";"United States";"Canada";"Canada";"Philippines";"Mongolia";"United States";"United States";"Mexico";"United States";"Canada"
"451";"Chile";"Chile";"Chile";"Chile";"Chile";"Argentina";"Chile";"Chile";"Argentina";"Argentina"
"452";"United States";"United States";"Canada";"United States";"United States";"Canada";"United States";"United States";"Russia";"United States"
"453";"Mexico";"Colombia";"Guatemala";"Colombia";"Costa Rica";"Colombia";"Colombia";"Mexico";"Mexico";"Colombia"
"454";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"455";"Taiwan";"China";"China";"China";"China";"China";"Hong Kong";"China";"Hong Kong";"China"
"456";"South Korea";"Japan";"Japan";"South Korea";"Japan";"Japan";"Japan";"South Korea";"South Korea";"Japan"
"457";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"458";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"459";"China";"China";"Taiwan";"Taiwan";"China";"China";"South Korea";"China";"China";"Thailand"
"460";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"461";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan"
"462";"Thailand";"Singapore";"Singapore";"Vietnam";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"463";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"464";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"465";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"466";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"467";"Philippines";"Philippines";"India";"India";"India";"India";"India";"Philippines";"Philippines";"India"
"468";"Turkey";"International";"Sweden";"International";"Ukraine";"Lithuania";"Russia";"Spain";"Finland";"Norway"
"469";"Belgium";"France";"Belgium";"France";"France";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"470";"Canada";"Lebanon";"Canada";"Morocco";"Canada";"Canada";"United States";"United States";"United States";"United States"
"471";"United States";"United States";"United States";"Canada";"United States";"Mexico";"United States";"United States";"United States";"Canada"
